[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] Flag --clusters_to_watch has been deprecated, use --clusters-to-watch instead 
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] Flag --topo_global_root has been deprecated, use --topo-global-root instead 
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] Flag --topo_global_server_address has been deprecated, use --topo-global-server-address instead 
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] Flag --topo_implementation has been deprecated, use --topo-implementation instead 
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:13.596786       1 servenv_unix.go:57] Version: 23.0.0 (Git revision bee41a670a0e18e7400364712263bab171ee89dc branch 'HEAD') built on Tue Nov  4 14:37:43 UTC 2025 by vitess@buildkitsandbox using go1.25.1 linux/amd64
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] E0212 18:42:13.597275       1 syslogger.go:171] can't connect to syslog: Unix syslog delivery error
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:28.661414       1 tablet_discovery.go:348] Discovered: alias:{cell:"zone1" uid:869309135} hostname:"10.0.4.202" port_map:{key:"grpc" value:15999} port_map:{key:"vt" value:15000} keyspace:"benchmark" shard:"99-cc" key_range:{start:"\x99" end:"\xcc"} type:REPLICA db_name_override:"benchmark" mysql_hostname:"10.0.4.202" default_conn_collation:255
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 18:42:28.666023       1 component.go:39] [core] [Channel #7 SubChannel #8]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.4.202:15999", ServerName: "10.0.4.202:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.202:15999: connect: connection refused"
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 18:42:29.673636       1 component.go:39] [core] [Channel #7 SubChannel #8]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.4.202:15999", ServerName: "10.0.4.202:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.202:15999: connect: connection refused"
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 18:42:31.290968       1 component.go:39] [core] [Channel #7 SubChannel #8]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.4.202:15999", ServerName: "10.0.4.202:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.202:15999: connect: connection refused"
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 18:42:33.364870       1 component.go:39] [core] [Channel #7 SubChannel #8]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.4.202:15999", ServerName: "10.0.4.202:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.202:15999: connect: connection refused"
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 18:42:37.600174       1 component.go:39] [core] [Channel #7 SubChannel #8]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.4.202:15999", ServerName: "10.0.4.202:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.202:15999: connect: connection refused"
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 18:42:43.665269       1 vtorc.go:204]  DiscoverInstance(zone1-0869309135) instance is nil in 15.004s (Backend: 0.002s, Instance: 15.002s), error=Code: DEADLINE_EXCEEDED
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] rpc error: code = DeadlineExceeded desc = latest balancer error: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.202:15999: connect: connection refused"
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 18:42:43.665428       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0869309135, took 15.0039s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:43.726067       1 tablet_discovery.go:348] Discovered: alias:{cell:"zone1" uid:732481799} hostname:"10.0.3.201" port_map:{key:"grpc" value:15999} port_map:{key:"vt" value:15000} keyspace:"benchmark" shard:"99-cc" key_range:{start:"\x99" end:"\xcc"} type:REPLICA db_name_override:"benchmark" mysql_hostname:"10.0.3.201" default_conn_collation:255
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 18:42:43.739351       1 component.go:39] [core] [Channel #9 SubChannel #10]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.3.201:15999", ServerName: "10.0.3.201:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.3.201:15999: connect: connection refused"
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 18:42:44.741907       1 component.go:39] [core] [Channel #9 SubChannel #10]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.3.201:15999", ServerName: "10.0.3.201:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.3.201:15999: connect: connection refused"
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 18:42:46.282721       1 component.go:39] [core] [Channel #9 SubChannel #10]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.3.201:15999", ServerName: "10.0.3.201:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.3.201:15999: connect: connection refused"
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 18:42:48.852673       1 component.go:39] [core] [Channel #9 SubChannel #10]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.3.201:15999", ServerName: "10.0.3.201:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.3.201:15999: connect: connection refused"
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 18:42:52.313165       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 8.5849s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:52.315195       1 analysis_dao.go:375] analysis: Alias: zone1-0869309135, Keyspace: benchmark, Shard: 99-cc, IsPrimary: false, LastCheckValid: false, LastCheckPartialSuccess: false, CountReplicas: 0, CountValidReplicas: 0, CountValidReplicatingReplicas: 0, CountLaggingReplicas: 0, CountDelayedReplicas: 0
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:52.315480       1 log.go:135] Recovery for ClusterHasNoPrimary on benchmark/99-cc: Starting checkAndRecover
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:52.316568       1 log.go:140] Recovery for ClusterHasNoPrimary on benchmark/99-cc: executeCheckAndRecoverFunction: proceeding with ClusterHasNoPrimary detection on zone1-0732481799; isActionable?: true
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:52.316903       1 locks.go:166] Locking shard benchmark/99-cc for action VTOrc Recovery for ClusterHasNoPrimary on zone1-0732481799 with options: {lockType:1 ttl:0}
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] E0212 18:42:52.324203       1 log.go:170] Recovery for ClusterHasNoPrimary on benchmark/99-cc: Failed to lock shard, aborting recovery: node already exists: lock already exists at path keyspaces/benchmark/shards/99-cc
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] E0212 18:42:52.324240       1 topology_recovery.go:988] node already exists: lock already exists at path keyspaces/benchmark/shards/99-cc
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:52.600718       1 log.go:135] Recovery for ClusterHasNoPrimary on benchmark/99-cc: Starting checkAndRecover
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:52.600930       1 log.go:140] Recovery for ClusterHasNoPrimary on benchmark/99-cc: executeCheckAndRecoverFunction: proceeding with ClusterHasNoPrimary detection on zone1-0732481799; isActionable?: true
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:52.601134       1 locks.go:166] Locking shard benchmark/99-cc for action VTOrc Recovery for ClusterHasNoPrimary on zone1-0732481799 with options: {lockType:1 ttl:0}
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] E0212 18:42:52.605044       1 log.go:170] Recovery for ClusterHasNoPrimary on benchmark/99-cc: Failed to lock shard, aborting recovery: node already exists: lock already exists at path keyspaces/benchmark/shards/99-cc
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] E0212 18:42:52.605074       1 topology_recovery.go:988] node already exists: lock already exists at path keyspaces/benchmark/shards/99-cc
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:53.602987       1 log.go:135] Recovery for ClusterHasNoPrimary on benchmark/99-cc: Starting checkAndRecover
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:53.603099       1 log.go:140] Recovery for ClusterHasNoPrimary on benchmark/99-cc: executeCheckAndRecoverFunction: proceeding with ClusterHasNoPrimary detection on zone1-0732481799; isActionable?: true
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:53.603393       1 locks.go:166] Locking shard benchmark/99-cc for action VTOrc Recovery for ClusterHasNoPrimary on zone1-0732481799 with options: {lockType:1 ttl:0}
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:53.614200       1 log.go:140] Recovery for ClusterHasNoPrimary on benchmark/99-cc: executeCheckAndRecoverFunction: Proceeding with ClusterHasNoPrimary recovery on zone1-0732481799 validation after acquiring shard lock.
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:53.618107       1 log.go:135] Recovery for ClusterHasNoPrimary on benchmark/99-cc: Force refreshing all shard tablets
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:53.631214       1 tablet_discovery.go:348] Discovered: alias:{cell:"zone1" uid:732481799} hostname:"10.0.3.201" port_map:{key:"grpc" value:15999} port_map:{key:"vt" value:15000} keyspace:"benchmark" shard:"99-cc" key_range:{start:"\x99" end:"\xcc"} type:PRIMARY db_name_override:"benchmark" mysql_hostname:"10.0.3.201" mysql_port:3306 primary_term_start_time:{seconds:1770921771 nanoseconds:94985812} default_conn_collation:255
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:53.631977       1 tablet_discovery.go:348] Discovered: alias:{cell:"zone1" uid:869309135} hostname:"10.0.4.202" port_map:{key:"grpc" value:15999} port_map:{key:"vt" value:15000} keyspace:"benchmark" shard:"99-cc" key_range:{start:"\x99" end:"\xcc"} type:REPLICA db_name_override:"benchmark" mysql_hostname:"10.0.4.202" mysql_port:3306 default_conn_collation:255
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:53.641295       1 vtorc.go:198] Force discovered - &{Hostname:10.0.3.201 Port:3306 InstanceAlias:zone1-0732481799 TabletType:PRIMARY Cell:zone1 ServerID:1455321102 ServerUUID:95ae00f6-0842-11f1-94a0-224f0aa9ebc4 Version:8.4.6 VersionComment:MySQL Community Server - GPL FlavorName: ReadOnly:false BinlogFormat:ROW BinlogRowImage:FULL LogBinEnabled:true LogReplicationUpdatesEnabled:true SelfBinlogCoordinates:vt-0732481799-bin.000001:14726 SourceHost: SourcePort:0 SourceUUID: AncestryUUID:95ae00f6-0842-11f1-94a0-224f0aa9ebc4 ReplicaNetTimeout:0 HeartbeatInterval:0 ReplicationSQLThreadRuning:false ReplicationIOThreadRuning:false ReplicationSQLThreadState:-1 ReplicationIOThreadState:-1 HasReplicationFilters:false GTIDMode:ON SupportsOracleGTID:true UsingOracleGTID:false ReadBinlogCoordinates::0 ExecBinlogCoordinates::0 IsDetached:false RelaylogCoordinates::0 LastSQLError: LastIOError: SecondsBehindPrimary:{Int64:0 Valid:false} SQLDelay:0 ExecutedGtidSet:95ae00f6-0842-11f1-94a0-224f0aa9ebc4:1-25 GtidPurged: GtidErrant: primaryExecutedGtidSet: ReplicationLagSeconds:{Int64:0 Valid:false} ReplicationDepth:0 IsCoPrimary:false HasReplicationCredentials:false SemiSyncEnforced:false SemiSyncPrimaryEnabled:false SemiSyncReplicaEnabled:false SemiSyncPrimaryTimeout:1000000000000000000 SemiSyncPrimaryWaitForReplicaCount:1 SemiSyncPrimaryStatus:false SemiSyncPrimaryClients:0 SemiSyncReplicaStatus:false SemiSyncBlocked:false LastSeenTimestamp: IsLastCheckValid:true IsUpToDate:true IsRecentlyChecked:true SecondsSinceLastSeen:{Int64:0 Valid:false} StalledDisk:false AllowTLS:false Problems:[] LastDiscoveryLatency:9.062031ms}, err - <nil>
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:53.643235       1 vtorc.go:198] Force discovered - &{Hostname:10.0.4.202 Port:3306 InstanceAlias:zone1-0869309135 TabletType:REPLICA Cell:zone1 ServerID:2090447787 ServerUUID:932f912b-0842-11f1-89ce-6e94d4041c73 Version:8.4.6 VersionComment:MySQL Community Server - GPL FlavorName: ReadOnly:true BinlogFormat:ROW BinlogRowImage:FULL LogBinEnabled:true LogReplicationUpdatesEnabled:true SelfBinlogCoordinates:vt-0869309135-bin.000001:14705 SourceHost:10.0.3.201 SourcePort:3306 SourceUUID:95ae00f6-0842-11f1-94a0-224f0aa9ebc4 AncestryUUID:95ae00f6-0842-11f1-94a0-224f0aa9ebc4,932f912b-0842-11f1-89ce-6e94d4041c73 ReplicaNetTimeout:8 HeartbeatInterval:4 ReplicationSQLThreadRuning:true ReplicationIOThreadRuning:true ReplicationSQLThreadState:1 ReplicationIOThreadState:1 HasReplicationFilters:false GTIDMode:ON SupportsOracleGTID:true UsingOracleGTID:true ReadBinlogCoordinates:vt-0732481799-bin.000001:14726 ExecBinlogCoordinates:vt-0732481799-bin.000001:14726 IsDetached:false RelaylogCoordinates:vt-0869309135-relay-bin.000002:14818 LastSQLError: LastIOError: SecondsBehindPrimary:{Int64:0 Valid:true} SQLDelay:0 ExecutedGtidSet:95ae00f6-0842-11f1-94a0-224f0aa9ebc4:1-25 GtidPurged:95ae00f6-0842-11f1-94a0-224f0aa9ebc4:1 GtidErrant: primaryExecutedGtidSet:95ae00f6-0842-11f1-94a0-224f0aa9ebc4:1-25 ReplicationLagSeconds:{Int64:0 Valid:true} ReplicationDepth:1 IsCoPrimary:false HasReplicationCredentials:true SemiSyncEnforced:false SemiSyncPrimaryEnabled:false SemiSyncReplicaEnabled:false SemiSyncPrimaryTimeout:1000000000000000000 SemiSyncPrimaryWaitForReplicaCount:1 SemiSyncPrimaryStatus:false SemiSyncPrimaryClients:0 SemiSyncReplicaStatus:false SemiSyncBlocked:false LastSeenTimestamp: IsLastCheckValid:true IsUpToDate:true IsRecentlyChecked:true SecondsSinceLastSeen:{Int64:0 Valid:false} StalledDisk:false AllowTLS:false Problems:[] LastDiscoveryLatency:9.877278ms}, err - <nil>
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:53.644585       1 log.go:140] Recovery for ClusterHasNoPrimary on benchmark/99-cc: Analysis: ClusterHasNoPrimary on tablet zone1-0732481799 - No longer valid, some other agent must have fixed the problem.
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:53.644616       1 locks.go:218] Unlocking shard benchmark/99-cc for successful action VTOrc Recovery for ClusterHasNoPrimary on zone1-0732481799
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 19:20:28.134230       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.5247s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 19:20:32.111686       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.5113s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 19:20:49.689264       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.0874s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 19:20:54.857065       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.2512s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 20:36:37.881135       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.2783s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 20:43:02.612962       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.0093s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 20:43:10.631835       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.0272s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 20:45:25.212661       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.6116s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 20:45:30.801080       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.1940s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 20:45:39.601671       1 analysis_dao.go:375] analysis: Alias: zone1-0732481799, Keyspace: benchmark, Shard: 99-cc, IsPrimary: true, LastCheckValid: false, LastCheckPartialSuccess: true, CountReplicas: 1, CountValidReplicas: 1, CountValidReplicatingReplicas: 1, CountLaggingReplicas: 0, CountDelayedReplicas: 0
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 20:45:39.607418       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.9978s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 20:45:47.939383       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.3317s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 20:45:53.524679       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.9207s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 20:45:58.816464       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 3.2118s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 20:46:16.114892       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.5118s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:24:48.664341       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.0484s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:25:00.687783       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.0870s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:25:11.841614       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.2408s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:25:22.619962       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.0166s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:25:30.965897       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.3524s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:30:38.654593       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.0486s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:30:57.716979       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.1009s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:31:09.634095       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.0146s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:31:15.801946       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.2008s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 21:33:41.601828       1 analysis_dao.go:375] analysis: Alias: zone1-0732481799, Keyspace: benchmark, Shard: 99-cc, IsPrimary: true, LastCheckValid: false, LastCheckPartialSuccess: true, CountReplicas: 1, CountValidReplicas: 1, CountValidReplicatingReplicas: 1, CountLaggingReplicas: 0, CountDelayedReplicas: 0
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:33:42.701854       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 3.0956s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:33:45.929216       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.3262s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:33:51.640728       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.0296s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:34:01.964913       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 2.3643s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:34:08.626265       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 2.0114s
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] W0212 21:34:11.986270       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-0732481799, took 1.3819s
